,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20182561,당갈,160,2016,20180425,개봉,장편,[{'nationNm': '인도'}],12세이상관람가
0,20182990,아기곰 보보 구출 대작전,75,2016,20180425,개봉,장편,[{'nationNm': '노르웨이'}],전체관람가
0,20189783,챔피언,108,2017,20180501,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20182984,얼리맨,88,2018,20180503,개봉,장편,[{'nationNm': '영국'}],전체관람가
0,20182989,커다랗고 커다랗고 커다란 배,77,2017,20180503,개봉,장편,[{'nationNm': '덴마크'}],전체관람가
0,20182385,매직빈,72,2017,20180503,개봉,장편,[{'nationNm': '중국'}],전체관람가
0,20177005,레슬러,109,2018,20180509,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20176069,원더스트럭,115,2017,20180503,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20137352,루비 스팍스,104,2012,20180510,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20183083,중2병이라도 사랑이 하고 싶어! 테이크 온 미,99,2018,20180510,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20176067,"부르고뉴, 와인에서 찾은 인생",113,2017,20180503,개봉,장편,[{'nationNm': '프랑스'}],15세이상관람가
0,20176848,데드풀 2,117,2018,20180516,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20173202,버닝,147,2018,20180517,개봉,장편,[{'nationNm': '한국'}],청소년관람불가
0,20183084,피터 래빗,94,2018,20180516,개봉,장편,"[{'nationNm': '미국'}, {'nationNm': '영국'}, {'nationNm': '호주'}]",전체관람가
0,20182046,"안녕, 나의 소녀",104,2017,20180516,개봉,장편,[{'nationNm': '대만'}],12세이상관람가
0,20183321,마징가 Z: 인피니티,94,2018,20180517,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20183741,다이노 헌터: 티렉스VS파키리노 대격돌,77,2018,20180517,개봉,장편,[{'nationNm': '영국'}],전체관람가
0,20179383,독전,123,2017,20180522,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20180789,한 솔로: 스타워즈 스토리,135,2018,20180524,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20183801,트루스 오어 데어,99,2018,20180522,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20184513,위 베어 베어스: 베이비 베어스,70,2018,20180524,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20173865,데자뷰,86,2018,20180530,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20176053,"스탠바이, 웬디",93,2017,20180530,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20180943,꼬마영웅 바비,71,2016,20180530,개봉,장편,[{'nationNm': '중국'}],전체관람가
0,20179086,쥬라기 월드: 폴른 킹덤,127,2018,20180606,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20184801,유전,127,2017,20180607,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20185081,아이 필 프리티,109,2018,20180606,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,90,2018,20180606,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20184261,벅스 프렌즈,75,2018,20180606,개봉,장편,[{'nationNm': '중국'}],전체관람가
0,20178161,탐정: 리턴즈,116,2018,20180613,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20184903,오션스8,110,2018,20180613,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20184512,토니스토리2: 고철왕국의 친구들,81,2017,20180613,개봉,장편,[{'nationNm': '독일'}],전체관람가
0,20184699,바르다가 사랑한 얼굴들,93,2017,20180614,개봉,장편,[{'nationNm': '프랑스'}],전체관람가
0,20184845,미드나잇 선,91,2018,20180621,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20184101,여중생A,114,2018,20180620,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20184689,아일라,123,2017,20180621,개봉,장편,[{'nationNm': '터키'}],15세이상관람가
0,20185648,유니콘 원정대: 비밀의 다이어리,91,2016,20180621,개봉,장편,[{'nationNm': '인도'}],전체관람가
0,20185341,마녀,125,2018,20180627,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20172469,허스토리,120,2017,20180627,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20184721,시카리오: 데이 오브 솔다도,122,2018,20180627,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20185001,빅샤크: 매직체인지,73,2015,20180627,개봉,장편,[{'nationNm': '중국'}],전체관람가
0,20180522,앤트맨과 와스프,118,2018,20180704,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20174369,변산,122,2017,20180704,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20181443,스카이스크래퍼,102,2018,20180711,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20180282,속닥속닥,91,2018,20180713,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
