영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국_스크린수,전국_매출액,전국_관객수,서울_매출액,서울_관객수,장르,등급,영화구분,영화코드
사냥의 시간: 데스 게임,아론 머티스,,,(주)영화사 안다미로,2020-06-22,개봉영화,장편,미국,1,24370520,6337,2455000,2337,공포(호러),청소년관람불가,일반영화,e
소중한 사람,마츠이 히사코,,(주)영화사조아,(주)영화사조아,2011-09-21,개봉영화,장편,일본,11,26058500,6336,18499500,5099,드라마,전체관람가,독립/예술영화,e
드라이,로버트 코놀리,,(주)영화사 진진,(주)영화사 진진,2022-03-30,개봉영화,장편,호주,110,53249980,6325,33442280,3762,미스터리,15세이상관람가,독립/예술영화,e
트라페지움,,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2024-11-14,개봉영화,장편,일본,105,50436500,6324,17623400,2317,애니메이션,전체관람가,독립/예술영화,e
힙노시스: LP 커버의 전설,안톤 코르빈,,(주)티캐스트,(주)티캐스트,2024-05-01,개봉영화,장편,영국,53,61213647,6321,45202217,4439,다큐멘터리,15세이상관람가,독립/예술영화,e
"우리, 둘",,,그린나래미디어(주),"그린나래미디어(주),(주)버킷스튜디오",2021-07-28,개봉영화,장편,프랑스,54,53127040,6319,35751340,4108,드라마,12세이상관람가,독립/예술영화,e
스파이 캣,"크리스토프 라우엔슈타인,울프강 라우엔슈타인",,주식회사 블루필름웍스,"(주)라이크콘텐츠,주식회사 블루필름웍스",2021-12-09,개봉영화,장편,독일,137,48647899,6312,15286000,2100,애니메이션,전체관람가,독립/예술영화,e
저스트 어 이어,댄 마저,,타임스토리그룹(주),타임스토리그룹(주),2013-05-30,개봉영화,장편,영국,48,43897500,6312,30973500,4382,코미디,청소년관람불가,일반영화,e
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,스에자와 케이,,(주)애니플러스,(주)애니플러스,2021-02-25,개봉영화,장편,일본,91,62166830,6306,25407030,2443,애니메이션,15세이상관람가,일반영화,e
챔피언 프로그램,스티븐 프리어스,,판씨네마(주),판씨네마(주),2015-10-28,개봉영화,장편,영국,91,48323400,6301,27769500,3431,드라마,12세이상관람가,독립/예술영화,e
피부색깔=꿀색,"융 헤닌,로랑 브왈로",(주)판다미디어,(주)미루픽처스,(주)미루픽처스,2014-05-08,개봉영화,장편,벨기에,48,42655900,6299,23884900,3232,애니메이션,12세이상관람가,독립/예술영화,e
미나미 양장점의 비밀,미시마 유키코,,(주)영화사 진진,(주)영화사 진진,2016-05-19,개봉영화,장편,일본,34,45765700,6296,28730500,3754,드라마,전체관람가,독립/예술영화,e
상견니 대만판 12화,황천인,,오드,오드,2021-08-31,개봉영화,장편,기타,99,46527880,6295,19684860,2673,드라마,12세이상관람가,일반영화,e
아이의 노랫소리를 들려줘,요시우라 야스히로,,미라지엔터테인먼트,(주)라이크콘텐츠,2022-09-22,개봉영화,장편,일본,106,58092382,6294,33318390,3286,애니메이션,12세이상관람가,독립/예술영화,e
더 파크랜드,피터 랜즈먼,,(주)영화사 진진,(주)영화사 진진,2014-03-20,개봉영화,장편,미국,111,45655500,6291,26347200,3522,미스터리,15세이상관람가,독립/예술영화,e
클라이밍,김혜미,한국영화아카데미,,(주)트리플픽쳐스,2021-06-16,개봉영화,장편,한국,110,40585850,6291,28230970,4569,애니메이션,15세이상관람가,독립/예술영화,e
2 데이즈 인 뉴욕,줄리 델피,,"(유)조이앤시네마,오드","(주)제이앤씨미디어그룹,예지림엔터테인먼트",2013-08-29,개봉영화,장편,프랑스,19,47935000,6291,41128000,5263,코미디,15세이상관람가,독립/예술영화,e
인면어: 저주의 시작,데이비드 청,,(주)엔케이컨텐츠,(주)디스테이션,2019-08-14,개봉영화,장편,대만,37,39979680,6290,25849700,3809,미스터리,15세이상관람가,독립/예술영화,e
극장판 가면라이더: 세이버X젠카이저 슈퍼히어로 전기,타자키 류타,,대원미디어(주),트윈플러스파트너스(주),2022-12-01,개봉영화,장편,일본,103,51373179,6289,18261895,1942,액션,전체관람가,일반영화,e
코알라,김주환,어뮤즈,,"어뮤즈,(주)엣나인필름",2013-10-24,개봉영화,장편,한국,65,47015000,6287,35697500,4557,드라마,15세이상관람가,독립/예술영화,e
할머니는 일학년,진광교,(주)아피아스튜디오,,(주)나이너스엔터테인먼트,2012-05-24,개봉영화,장편,한국,33,39607500,6287,13486000,1812,가족,전체관람가,독립/예술영화,e
맛있는 택배,기대호,(주)로드하우스,,노바엔터테인먼트,2015-04-02,개봉영화,장편,한국,50,31122000,6276,17166000,3473,멜로/로맨스,청소년관람불가,일반영화,e
신의 소녀들,크리스티안 문쥬,,찬란,찬란,2012-12-06,개봉영화,장편,루마니아,14,46562000,6275,35765000,4506,드라마,15세이상관람가,독립/예술영화,e
조선인 여공의 노래,이원식,"영화제작소 정감,정감스토리",,(주)시네마달,2024-08-07,개봉영화,장편,한국,48,53979900,6266,25833400,2829,다큐멘터리,전체관람가,독립/예술영화,e
극장판 베르세르크: 황금 시대편 Ⅲ – 강림,쿠보오카 토시유키,,대원미디어(주),(주)스마일이엔티,2013-04-11,개봉영화,장편,일본,13,47388500,6264,35045000,4463,판타지,청소년관람불가,독립/예술영화,e
체브라시카,나카무라 마코토,,(주)동아수출공사,브릿지웍스 엔터테인먼트(주),2013-11-14,개봉영화,장편,일본,73,41034500,6261,10815000,1650,애니메이션,전체관람가,일반영화,e
더 원더스,알리체 로르와커,,M&M 인터내셔널,M&M 인터내셔널,2024-07-31,개봉영화,장편,이탈리아,44,57698456,6250,38389556,3804,드라마,12세이상관람가,독립/예술영화,e
에릭 클랩튼: 기타의 신,릴리 피니 자눅,,(주)영화사 진진,(주)영화사 진진,2020-01-23,개봉영화,장편,영국,28,48550462,6245,34830462,4241,다큐멘터리,15세이상관람가,독립/예술영화,e
맵 투 더 스타,데이빗 크로넨버그,,(주)도키엔터테인먼트,와이드 릴리즈(주),2014-12-25,개봉영화,장편,캐나다,29,49405800,6244,32107400,3844,미스터리,청소년관람불가,독립/예술영화,e
아서,사이먼 셀란 존스,,(주)누리픽쳐스,(주)누리픽쳐스,2024-04-17,개봉영화,장편,미국,121,50882980,6240,17562150,2125,어드벤처,12세이상관람가,일반영화,e
하나 빼고 완벽한 뉴욕 아파트,소피 브룩스,,판씨네마(주),판씨네마(주),2018-12-27,개봉영화,장편,미국,37,53304300,6234,37085900,4281,코미디,12세이상관람가,독립/예술영화,e
킬링 소프틀리,앤드류 도미닉,,(주)쇼박스,(주)쇼박스,2013-04-04,개봉영화,장편,미국,32,43220547,6232,24273547,3331,액션,청소년관람불가,일반영화,e
썬더버드,이재원,한국영화아카데미,,(주)트리플픽쳐스,2022-09-21,개봉영화,장편,한국,99,52757800,6227,28206400,3290,드라마,15세이상관람가,독립/예술영화,e
극장판 토미카 하이퍼레스큐 드라이브헤드,카토 타카오,,"(주)팝엔터테인먼트,에스엠지홀딩스 주식회사",(주)팝엔터테인먼트,2018-10-03,개봉영화,장편,일본,140,49667400,6226,16034100,1943,애니메이션,전체관람가,일반영화,e
커피 오어 티,데렉 후이,,(주)블루라벨픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2021-03-31,개봉영화,장편,중국,119,48768820,6221,34835340,4627,코미디,12세이상관람가,독립/예술영화,e
