,genreNm,movieCd
2,드라마,20212973
0,드라마,20190299
0,애니메이션,20223828
0,액션,20223953
1,스릴러,20223953
0,드라마,20223804
0,액션,20223676
1,드라마,20223676
2,스릴러,20223676
3,SF,20223676
4,어드벤처,20223676
0,드라마,20210541
0,멜로/로맨스,20223950
1,코미디,20223950
0,애니메이션,20216064
1,판타지,20216064
2,멜로/로맨스,20216064
0,범죄,20199500
1,드라마,20199500
0,드라마,20223583
0,애니메이션,20224069
0,가족,20224143
1,드라마,20224143
0,멜로/로맨스,20223404
1,드라마,20223404
0,액션,20204431
1,어드벤처,20204431
2,드라마,20204431
0,범죄,20200418
1,스릴러,20200418
0,멜로/로맨스,20219344
1,스릴러,20219344
0,드라마,20223403
1,범죄,20223403
0,애니메이션,20212618
1,액션,20212618
2,어드벤처,20212618
3,코미디,20212618
4,가족,20212618
5,판타지,20212618
6,SF,20212618
0,액션,20212724
1,범죄,20212724
0,코미디,20196906
1,드라마,20196906
0,드라마,20223614
1,멜로/로맨스,20223614
0,드라마,20217298
0,어드벤처,20212725
1,가족,20212725
2,판타지,20212725
0,드라마,20219310
0,드라마,20217023
0,드라마,20204845
0,스릴러,20196669
0,액션,20212783
1,코미디,20212783
2,멜로/로맨스,20212783
3,어드벤처,20212783
0,공연,20224142
1,다큐멘터리,20224142
0,애니메이션,20224270
1,범죄,20224270
2,액션,20224270
0,드라마,20178501
0,공포(호러),20217982
0,드라마,20217769
1,액션,20217769
0,액션,20212855
1,어드벤처,20212855
2,판타지,20212855
0,애니메이션,20224148
0,드라마,20210962
1,멜로/로맨스,20210962
0,애니메이션,20223388
1,판타지,20223388
2,액션,20223388
3,어드벤처,20223388
0,범죄,20204548
1,액션,20204548
0,드라마,20223940
1,전쟁,20223940
0,스릴러,20224223
0,가족,20223991
0,다큐멘터리,20211568
0,드라마,20211421
0,다큐멘터리,20224634
0,애니메이션,20143441
1,뮤지컬,20143441
2,어드벤처,20143441
0,액션,20225055
1,범죄,20225055
0,드라마,20217334
0,액션,20224304
0,드라마,20211382
0,액션,20206061
1,어드벤처,20206061
0,애니메이션,20135304
0,드라마,20210590
0,드라마,20224468
1,SF,20224468
0,애니메이션,20224891
0,드라마,20206257
0,액션,20194376
0,가족,20218527
1,드라마,20218527
0,드라마,20224995
0,액션,20224882
0,애니메이션,20223839
1,액션,20223839
2,어드벤처,20223839
0,스릴러,20210843
0,애니메이션,20225114
0,드라마,20224757
0,미스터리,20209654
1,멜로/로맨스,20209654
0,드라마,20212317
0,액션,20224662
1,어드벤처,20224662
2,판타지,20224662
0,어드벤처,20211321
